unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Middle East & North Africa,SAU,Saudi Arabia,HEPB3,95,96,97,98,98,98,98,98,98,98,98,98,98,96,96,97,96,95,97,95,93,92,95,91,92,93,94,93,89,86,66,,,,,,,,,,
West & Central Africa,SEN,Senegal,HEPB3,92,96,92,93,93,89,89,92,91,92,89,86,88,94,89,84,54,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,SRB,Serbia,HEPB3,,94,91,93,91,94,92,91,97,94,89,93,93,99,93,65,89,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SYC,Seychelles,HEPB3,97,99,99,97,96,97,99,98,98,99,99,98,99,99,99,99,99,99,98,95,97,99,96,97,98,99,,,,,,,,,,,,,,,
West & Central Africa,SLE,Sierra Leone,HEPB3,91,95,93,90,84,86,83,92,91,89,86,84,77,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SGP,Singapore,HEPB3,,96,96,96,96,96,96,97,97,96,96,96,97,96,95,96,94,95,95,95,97,96,96,97,96,96,94,90,78,76,74,,,,,,,,,,
Western Europe,SVK,Slovakia,HEPB3,97,97,96,96,96,96,97,98,99,99,99,99,99,99,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,
Western Europe,SVN,Slovenia,HEPB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SLB,Solomon Islands,HEPB3,94,94,85,83,94,87,77,83,92,92,87,91,89,90,99,83,81,79,75,83,81,79,75,73,97,68,65,53,,,,,,,,,,,,,
Eastern & Southern Africa,SOM,Somalia,HEPB3,42,42,42,42,42,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZAF,South Africa,HEPB3,84,85,82,84,85,85,85,73,70,76,71,74,76,83,83,79,76,71,72,72,73,73,74,74,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SSD,South Sudan,HEPB3,49,49,49,47,45,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ESP,Spain,HEPB3,98,96,96,94,97,97,96,95,96,97,97,96,97,96,97,96,97,81,82,83,77,80,81,84,82,,,,,,,,,,,,,,,,
South Asia,LKA,Sri Lanka,HEPB3,96,99,99,99,99,99,99,99,99,99,99,97,98,98,98,99,62,32,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,PSE,State of Palestine,HEPB3,99,99,99,99,99,99,99,99,99,99,98,97,96,98,97,99,96,97,91,92,95,90,91,99,91,93,,,,,,,,,,,,,,,
Eastern & Southern Africa,SDN,Sudan,HEPB3,90,93,93,95,93,93,94,93,92,93,75,72,78,78,60,22,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SUR,Suriname,HEPB3,51,77,81,67,77,73,71,76,76,80,84,87,84,84,84,83,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SWE,Sweden,HEPB3,97,97,92,76,67,53,42,35,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,CHE,Switzerland,HEPB3,72,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SYR,Syrian Arab Republic,HEPB3,49,54,47,48,42,41,47,71,43,66,84,84,83,83,83,83,82,81,80,80,79,78,77,76,75,74,64,23,5,,,,,,,,,,,,
Eastern Europe & Central Asia,TJK,Tajikistan,HEPB3,97,97,96,96,97,96,97,96,94,96,93,93,86,84,88,81,81,58,39,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,THA,Thailand,HEPB3,,97,97,99,99,99,99,99,98,98,98,98,98,96,96,96,96,96,95,95,95,95,95,94,93,93,66,58,15,,,,,,,,,,,,
East Asia & Pacific,TLS,Timor-Leste,HEPB3,86,90,83,83,79,76,77,82,83,67,72,72,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TGO,Togo,HEPB3,82,84,81,83,82,82,84,84,84,85,83,78,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TON,Tonga,HEPB3,99,99,99,99,96,96,98,99,95,99,99,99,98,99,99,99,99,93,95,96,97,93,96,95,94,91,90,96,82,88,94,,,,,,,,,,
Latin America & Caribbean,TTO,Trinidad and Tobago,HEPB3,,93,99,89,97,90,92,92,92,90,90,90,90,89,89,95,94,76,5,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,TUN,Tunisia,HEPB3,92,92,90,92,93,93,94,95,95,98,98,99,99,98,99,97,96,92,93,94,94,94,91,88,83,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TUR,Turkey,HEPB3,98,99,98,96,98,97,96,97,97,96,96,94,92,96,82,85,77,68,72,77,71,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TKM,Turkmenistan,HEPB3,99,99,99,99,98,99,97,98,98,97,96,97,96,98,98,99,96,97,96,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TUV,Tuvalu,HEPB3,93,92,89,96,94,96,89,90,97,96,89,91,99,97,97,79,98,95,99,99,81,93,96,88,86,49,17,,,,,,,,,,,,,,
Eastern & Southern Africa,UGA,Uganda,HEPB3,89,93,93,94,93,89,85,84,83,82,80,79,71,73,64,64,62,44,29,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,UKR,Ukraine,HEPB3,81,76,67,52,26,22,22,46,46,21,48,66,84,92,96,97,98,77,48,7,4,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,ARE,United Arab Emirates,HEPB3,91,98,99,98,99,99,99,98,96,95,94,93,92,92,92,92,92,92,92,92,92,92,96,90,90,90,90,90,,,,,,,,,,,,,
Western Europe,GBR,United Kingdom,HEPB3,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,TZA,United Republic of Tanzania,HEPB3,86,89,89,90,92,96,97,91,92,90,91,85,86,83,90,90,95,95,89,,,,,,,,,,,,,,,,,,,,,,
North America,USA,United States,HEPB3,91,91,91,91,93,92,92,91,90,91,92,92,94,93,93,93,92,92,88,89,90,88,87,84,82,68,42,16,,,,,,,,,,,,,
Latin America & Caribbean,URY,Uruguay,HEPB3,92,94,91,93,95,95,95,94,95,95,95,95,94,94,95,96,94,91,95,94,92,93,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,UZB,Uzbekistan,HEPB3,95,96,98,99,99,99,99,99,99,99,99,98,91,99,98,99,99,99,62,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,VUT,Vanuatu,HEPB3,78,90,85,85,81,80,86,83,79,76,73,69,66,62,59,61,63,64,66,68,70,71,73,75,69,66,69,82,82,46,,,,,,,,,,,
Latin America & Caribbean,VEN,"Venezuela, RB",HEPB3,54,64,60,66,84,87,78,82,81,78,78,84,53,62,71,88,82,72,60,53,5,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,VNM,Vietnam,HEPB3,94,89,75,94,96,97,95,59,97,95,88,94,87,67,93,94,94,78,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,YEM,Yemen,HEPB3,72,73,65,68,71,69,73,73,67,69,76,76,78,79,78,80,43,38,31,19,14,9,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZMB,Zambia,HEPB3,84,88,90,94,95,90,86,79,78,81,83,94,87,80,81,82,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZWE,Zimbabwe,HEPB3,86,90,89,89,90,87,91,95,97,94,90,73,75,72,68,65,68,70,73,76,79,31,24,16,9,1,,,,,,,,,,,,,,,
