unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
East Asia & Pacific,CHN,China,HEPB3,99,99,99,99,99,99,99,99,99,99,99,99,95,92,91,84,79,75,70,65,60,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,COL,Colombia,HEPB3,88,94,92,92,91,91,90,91,92,85,88,92,92,93,93,93,89,92,78,80,78,77,75,85,95,71,,,,,,,,,,,,,,,
Eastern & Southern Africa,COM,Comoros,HEPB3,87,91,91,91,91,91,88,88,89,83,74,83,81,75,69,68,77,28,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COG,Congo,HEPB3,73,79,75,69,71,80,90,85,62,70,74,75,73,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,COK,Cook Islands,HEPB3,,98,99,99,99,99,99,98,98,93,99,82,99,99,99,99,99,93,93,93,98,90,88,99,65,85,79,76,98,85,71,,,,,,,,,,
Latin America & Caribbean,CRI,Costa Rica,HEPB3,98,98,98,97,97,92,91,94,91,84,89,87,89,89,88,90,89,86,94,80,89,83,86,76,,,,,,,,,,,,,,,,,
West & Central Africa,CIV,Cote d'Ivoire,HEPB3,80,84,86,83,87,79,73,75,82,62,79,81,74,76,77,76,67,63,48,10,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,HRV,Croatia,HEPB3,,93,93,92,92,94,95,96,96,96,97,97,97,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CUB,Cuba,HEPB3,99,99,99,99,99,99,97,96,96,96,96,96,95,93,89,95,99,99,98,98,98,99,98,98,99,99,98,84,,,,,,,,,,,,,
Western Europe,CYP,Cyprus,HEPB3,,94,97,97,97,97,96,96,96,96,96,96,93,93,93,88,88,88,88,89,89,89,88,88,88,68,54,41,27,20,,,,,,,,,,,
Western Europe,CZE,Czechia,HEPB3,,97,96,94,96,97,99,99,99,99,99,99,99,99,98,99,98,92,86,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PRK,Democratic People's Republic of Korea,HEPB3,97,97,97,97,96,96,93,93,96,94,93,93,92,92,96,92,98,27,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COD,Democratic Republic of the Congo,HEPB3,57,57,57,57,57,63,68,68,75,74,60,72,65,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DNK,Denmark,HEPB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,DJI,Djibouti,HEPB3,70,85,84,76,68,84,78,82,81,87,88,89,88,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
