unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
East Asia & Pacific,KHM,Cambodia,DTP3,92,92,92,93,93,92,91,86,90,91,90,94,91,82,80,82,85,69,54,60,59,53,47,46,43,39,37,35,32,38,38,47,45,37,37,23,17,,,,
West & Central Africa,CMR,Cameroon,DTP3,69,67,67,74,75,78,83,89,85,82,84,80,84,82,81,80,73,73,66,63,62,59,56,48,46,46,38,37,37,42,48,56,50,44,39,33,27,25,15,5,
North America,CAN,Canada,DTP3,91,91,91,91,91,91,91,91,91,87,89,91,92,94,95,93,91,91,88,89,89,90,90,86,90,87,93,90,89,88,88,87,86,85,,,,,,,
West & Central Africa,CAF,Central African Republic,DTP3,42,42,42,42,42,43,45,23,47,47,45,42,45,48,51,54,51,47,44,40,37,33,43,43,48,53,48,47,45,64,82,64,42,22,19,20,17,16,14,11,13
West & Central Africa,TCD,Chad,DTP3,52,50,46,41,41,42,36,39,40,33,39,24,19,28,40,25,21,23,25,26,36,45,35,24,20,18,18,13,10,18,20,20,14,14,10,3,3,1,,,
Latin America & Caribbean,CHL,Chile,DTP3,93,96,95,93,95,96,95,91,90,94,92,94,95,96,94,91,93,96,97,97,91,95,90,90,91,94,94,90,90,94,95,95,96,93,90,99,99,89,99,99,93
East Asia & Pacific,CHN,China,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,97,93,93,87,87,86,86,86,85,85,84,84,83,80,85,88,91,94,97,95,95,75,78,78,73,58,,,
Latin America & Caribbean,COL,Colombia,DTP3,88,94,92,92,91,91,90,91,91,85,88,92,92,93,93,93,89,92,81,80,79,74,73,84,85,85,85,88,78,84,88,78,74,58,48,61,61,42,26,20,16
Eastern & Southern Africa,COM,Comoros,DTP3,87,91,91,91,91,91,87,87,86,83,74,83,81,75,69,68,76,80,89,70,70,73,75,48,60,75,58,70,38,52,94,82,43,71,71,51,31,,,,
West & Central Africa,COG,Congo,DTP3,73,79,75,69,71,80,90,85,85,82,74,78,79,72,73,62,67,50,41,31,33,29,26,23,37,50,55,60,67,74,79,79,72,72,71,54,53,50,47,42,42
East Asia & Pacific,COK,Cook Islands,DTP3,,98,99,99,99,99,99,98,98,93,99,82,99,99,99,99,99,96,97,90,92,92,93,93,75,93,86,99,87,87,93,89,94,83,87,78,48,57,51,46,40
Latin America & Caribbean,CRI,Costa Rica,DTP3,95,95,94,96,97,92,91,95,91,85,88,86,90,89,89,91,90,88,94,91,88,86,85,94,85,85,88,88,90,90,95,86,87,94,89,90,93,86,81,85,86
West & Central Africa,CIV,Cote d'Ivoire,DTP3,80,84,86,83,87,79,73,75,82,61,78,81,74,76,77,76,67,61,64,66,65,58,58,58,55,52,50,50,49,39,54,42,31,31,30,25,19,,,,
Eastern Europe & Central Asia,HRV,Croatia,DTP3,,94,93,92,93,94,95,96,96,96,97,96,96,96,96,96,96,94,95,94,93,93,93,92,91,90,87,85,83,,,,,,,,,,,,
Latin America & Caribbean,CUB,Cuba,DTP3,99,99,99,99,99,99,99,99,99,97,96,96,95,93,89,89,88,72,99,98,95,95,99,99,90,99,99,99,94,99,92,96,98,87,99,91,86,99,99,68,67
Western Europe,CYP,Cyprus,DTP3,,96,99,97,97,97,99,99,99,99,99,99,97,97,97,98,98,98,98,97,97,97,98,98,98,96,95,95,94,94,93,93,90,93,91,61,30,34,26,56,34
Western Europe,CZE,Czechia,DTP3,,97,97,96,96,97,97,98,99,99,99,99,99,99,98,97,98,97,98,98,98,98,98,98,97,96,98,99,,,,,,,,,,,,,
East Asia & Pacific,PRK,Democratic People's Republic of Korea,DTP3,97,97,97,97,96,96,93,93,96,94,93,93,92,92,89,79,72,68,64,62,56,50,43,37,50,64,77,90,90,97,98,97,87,86,61,55,67,52,51,52,50
West & Central Africa,COD,Democratic Republic of the Congo,DTP3,57,57,57,57,57,63,68,68,75,74,60,72,65,70,62,60,54,41,38,30,40,25,18,18,18,23,26,29,23,16,35,38,41,38,32,37,27,16,17,18,
Western Europe,DNK,Denmark,DTP3,97,97,97,98,94,93,94,94,94,91,90,89,88,87,93,93,95,96,98,97,97,99,99,92,77,90,89,88,91,90,90,89,87,88,89,90,86,86,87,88,88
Eastern & Southern Africa,DJI,Djibouti,DTP3,70,85,84,76,68,84,78,82,81,87,88,89,89,88,72,71,64,68,62,53,46,23,23,32,41,41,41,41,41,53,85,77,65,25,24,22,21,14,6,,
Latin America & Caribbean,DMA,Dominica,DTP3,97,99,94,91,99,98,97,96,97,98,98,99,96,96,95,98,99,99,98,99,99,99,99,92,99,99,99,99,99,98,92,92,96,95,93,91,84,93,99,97,63
Latin America & Caribbean,DOM,Dominican Republic,DTP3,82,89,94,84,87,85,91,83,85,84,88,82,82,85,89,87,79,79,82,72,78,83,75,73,72,72,74,75,73,71,69,58,69,80,80,39,34,29,28,27,36
Latin America & Caribbean,ECU,Ecuador,DTP3,70,85,85,85,83,78,83,87,87,88,91,94,96,96,96,92,88,87,88,89,87,79,85,81,82,83,84,85,87,59,68,55,54,51,44,41,48,31,35,26,10
Middle East & North Africa,EGY,Egypt,DTP3,94,95,95,94,95,93,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98,97,92,88,90,88,83,81,79,76,87,90,87,81,80,84,69,57,57,57,57
Latin America & Caribbean,SLV,El Salvador,DTP3,72,81,81,85,93,91,94,92,92,89,89,91,98,99,96,89,90,94,81,92,99,94,99,97,96,99,90,79,60,61,80,64,63,53,50,55,31,21,42,42,44
